Id,Nom,Description,Portions,Portions unité,Difficulté,Coût,Régime,Catégorie,Préparation,Cuisson,Ingrédients,Instructions,"Energie, Règlement UE N° 1169/2011 (kJ/100 g)","Energie, Règlement UE N° 1169/2011 (kcal/100 g)","Energie, N x facteur Jones, avec fibres  (kJ/100 g)","Energie, N x facteur Jones, avec fibres  (kcal/100 g)",Eau (g/100 g),"Protéines, N x facteur de Jones (g/100 g)","Protéines, N x 6.25 (g/100 g)",Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),Beta-Carotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K1 (µg/100 g),Vitamine K2 (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou PP ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g),Image
569,Clafoutis poire chocolat,"Un clafoutis gourmand aux poires et pépites de chocolat, parfait pour le dessert ou le goûter.",6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
3 Poires, coupées en dés
100 gramme Pépites de chocolat","Mélangez la farine et la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez délicatement les dés de poire et les pépites de chocolat à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle et programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Démoulez après refroidissement et dégustez.",1194.333333333333,285.2583333333333,1189.416666666667,284.2833333333333,112.6639833333333,10.38483333333333,10.59883333333333,61.56916666666667,14.1525,41.85175,0.11,0.01833333333333333,0.1708333333333334,2.0805,0.1108333333333333,32.1975,17.75,2.96875,0.001666666666666667,1.388916666666667,0.0,0.09166666666666667,207.4983333333333,0.2378066666666666,135.9778333333333,68.66666666666667,0.1646083333333333,2.05535,20.675,28.27691666666666,0.2013758333333333,217.6565,318.8931666666667,9.346666666666666,153.8175,0.9916958333333333,112.1416666666667,9.891666666666666,1.222416666666666,2.084083333333334,1.507166666666667,0.25,4.863333333333333,0.2229333333333333,0.3180833333333333,0.44285,1.287666666666667,0.119975,27.08333333333333,0.8445,
570,Clafoutis aux framboises et amandes,"Un clafoutis moelleux et parfumé, agrémenté de framboises acidulées et d'amandes croustillantes",6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Framboises
50 gramme Amandes effilées","Mélangez la farine avec la levure chimique dans un plat.
Battez les œufs avec le sucre dans un saladier, puis incorporez progressivement le mélange de farine, le lait et l'huile.
Ajoutez les framboises et les amandes effilées, mélangez délicatement.
Versez la préparation dans la cuve beurrée.
Fermez le couvercle, programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler. Servez et appréciez.",889.6666666666666,212.1583333333333,884.75,211.1833333333333,78.05565,10.87316666666667,11.40383333333333,47.23833333333334,13.48583333333333,27.35175,1.043333333333333,0.01833333333333333,0.8708333333333332,0.3638333333333334,0.1775,25.6475,17.4875,3.107916666666667,0.1666666666666667,1.293083333333333,0.0,0.6349999999999999,203.8,0.204265,118.0611666666667,35.83333333333334,0.1646083333333333,1.722016666666667,22.64166666666667,42.36025,0.4480425,221.7398333333333,244.7265,13.59666666666667,140.6508333333333,1.105029166666667,105.4583333333333,38.36916666666666,0.9932499999999997,4.16075,2.268833333333333,0.25,6.375,0.0786,0.2830833333333334,0.5436833333333333,1.360166666666667,0.110475,45.16666666666666,0.7545000000000001,
571,Clafoutis citron et pavot,Un dessert frais et légèrement acidulé avec des notes de citron et de pavot.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
1 Zeste de deux citrons
1 Jus de citron
2 cuillère à soupe Graines de pavot","Mélangez la farine, la levure chimique et les graines de pavot dans un plat.
Dans un saladier, battez les œufs avec le sucre, ajoutez le zeste et le jus de citron, puis incorporez progressivement le mélange de farine, le lait et l'huile.
Versez la préparation dans la cuve préalablement beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler. Dégustez ce clafoutis frais et légèrement acidulé.",968.35,231.345,963.4333333333334,230.37,59.04058333333333,10.20333333333333,10.41733333333333,45.9175,11.7105,25.61111666666666,0.1217,0.001666666666666667,0.1876,0.2855,0.09916666666666667,25.30006666666667,17.34166666666667,1.616083333333333,0.0125,1.371616666666667,0.0,0.15255,203.8,0.2073266666666667,183.4528333333334,28.0,0.1785916666666667,1.926666666666667,14.80833333333333,35.52775,0.5701758333333333,225.0898333333333,178.3598333333333,5.763333333333333,141.9308333333333,1.319779166666667,105.4583333333333,4.716666666666667,0.9724166666666664,2.095783333333333,0.5488333333333334,0.25,3.355,0.119425,0.2621166666666667,0.34155,1.056516666666667,0.1234666666666667,29.20333333333333,0.7545000000000001,
572,Clafoutis aux myrtilles et vanille,Un dessert doux et parfumé combinant les saveurs de myrtilles juteuses et de vanille exotique.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Myrtilles
1 cuillère à café Extrait de vanille","Mélangez la farine avec la levure chimique dans un plat.
Battez les œufs avec le sucre et l'extrait de vanille dans un saladier, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez délicatement les myrtilles à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler.",905.6533333333333,215.7916666666667,900.7366666666667,214.8166666666667,77.00398333333334,9.200000000000001,9.414,48.04386666666667,9.054166666666665,28.52175,1.75,0.001666666666666667,1.780833333333333,0.2805,0.09416666666666666,25.18416666666667,17.35166666666666,1.432916666666667,0.004666666666666667,0.9954833333333334,0.1096666666666666,0.4583666666666666,203.8,0.199715,93.06116666666667,27.5,0.09035166666666666,1.399116666666666,14.475,15.21025,0.2579758333333333,173.6465,147.3865,5.266666666666667,138.9141666666667,0.7868958333333333,105.4583333333333,15.09166666666667,0.9724166666666664,2.199083333333334,6.962166666666668,0.25,3.333333333333333,0.07346,0.2661533333333334,0.4039166666666666,1.065253333333333,0.1113716666666667,24.46666666666667,0.7545000000000001,
573,Clafoutis choco-menthe,"Un clafoutis doux avec une touche de fraîcheur apportée par la menthe, mélangé à la gourmandise du chocolat.",6,personnes,2,3,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
100 gramme Pépites de chocolat
1 cuillère à café Extrait de menthe","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre et l'extrait de menthe, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez les pépites de chocolat à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler. Dégustez ce clafoutis original aux saveurs rafraîchissantes.",1196.333333333333,285.7383333333333,1191.416666666667,284.7633333333333,49.52314999999999,10.18916666666667,10.40316666666667,53.81333333333333,14.0845,34.09591666666666,0.11,0.01833333333333333,0.1708333333333334,2.0805,0.1108333333333333,32.1975,17.75,1.177916666666667,0.001666666666666667,1.26225,0.0,0.09175,207.4833333333333,0.232815,129.5695,68.66666666666667,0.1219416666666667,1.976016666666667,19.925,23.62275,0.2109591666666667,208.4606666666666,210.6765,8.600833333333334,151.8216666666667,0.9258625,112.1416666666667,16.05833333333333,1.222416666666666,2.12575,1.507166666666667,0.25,0.5516666666666667,0.0736,0.2974166666666667,0.3039333333333333,1.237583333333333,0.1061416666666667,26.5,0.8445,
574,Clafoutis aux abricots et romarin,Un dessert sucré et aromatique avec des abricots frais et un soupçon de romarin.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Abricots frais, coupés en quartiers
1 branche Romarin frais, finement haché","Mélangez la farine avec la levure chimique dans un plat.
Battez les œufs avec le sucre dans un saladier, puis ajoutez progressivement le mélange de farine, le lait, l'huile et le romarin haché.
Incorporez délicatement les quartiers d'abricot à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler. Ce clafoutis offre une combinaison parfaite de douceur et d'arômes herbacés.",887.3266666666667,211.4616666666667,882.41,210.4866666666667,77.98165,9.190866666666667,9.404866666666667,47.52783333333333,9.130366666666665,27.43508333333333,0.5266666666666667,0.001666666666666667,0.8208333333333333,0.3471666666666667,0.1608333333333334,26.28083333333333,17.45833333333333,1.246583333333333,0.1666666666666667,1.142583333333333,0.0,0.1583666666666666,203.8,0.2033983333333333,97.11783333333334,34.16666666666666,0.092275,1.39085,20.975,16.29691666666667,0.1695758333333333,177.1265,210.2865,11.93,140.3208333333333,0.7664624999999999,105.4583333333333,787.7583333333333,0.9724166666666664,2.242416666666667,0.7955,0.25,1.022666666666667,0.07121999999999999,0.2570833333333333,0.2992166666666666,1.091166666666667,0.1131083333333333,25.36333333333333,0.7545000000000001,
575,Clafoutis aux figues et miel,Un clafoutis doux et fruité avec une touche envoûtante de miel.,6,personnes,2,2,Dessert,Desserts,15,35,"100 gramme Sucre
50 gramme Miel
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Figues fraîches, coupées en quartiers","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre et le miel, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez délicatement les quartiers de figue à la préparation.
Versez le tout dans la cuve préalablement beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler.",918.6666666666666,218.8916666666667,913.75,217.9166666666667,76.90814999999999,9.353166666666668,9.567166666666667,47.49416666666666,9.110833333333334,27.60175,5.484999999999999,0.26,4.945833333333334,0.3471666666666667,0.285,17.00083333333333,17.45833333333333,1.999583333333333,0.1666666666666667,1.11525,0.0,0.05833333333333334,203.8,0.203565,110.4145,34.16666666666666,0.0989,1.403933333333333,20.99166666666667,20.74441666666667,0.1758508333333333,177.0398333333333,202.7931666666667,11.93,140.3958333333333,0.7931958333333333,105.4583333333333,28.95833333333333,0.9724166666666664,2.03575,2.268833333333333,0.25,0.3333333333333333,0.0661,0.25975,0.3953499999999999,1.080916666666667,0.1213083333333333,30.8,0.7545000000000001,
576,Clafoutis aux noix et caramel,"Un délicieux clafoutis aux noix avec une touche gourmande de caramel, parfait pour une fin de repas sucrée ou une collation croustillante.",6,personnes,3,3,Dessert,Desserts,20,35,"100 gramme Sucre
50 gramme Caramel liquide
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
100 gramme Noix, concassées","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis incorporez progressivement le mélange de farine, le lait, l'huile et le caramel liquide.
Ajoutez les noix concassées à la préparation et mélangez délicatement.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler. Dégustez ce clafoutis gourmand aux notes croquantes et caramélisées.",821.0,195.7583333333333,816.0833333333334,194.7833333333333,55.69148333333334,10.74316666666667,11.27383333333333,44.5925,14.24416666666667,22.18508333333333,0.1766666666666667,0.035,0.2541666666666667,0.3138333333333334,0.1275,16.86416666666667,17.4,1.282916666666667,0.0,1.162166666666667,0.0,0.001666666666666667,203.8,0.2016483333333333,106.4203333333333,32.21666666666667,0.2258166666666667,1.548933333333333,17.61666666666667,33.05608333333333,0.5925175,212.9065,185.2681666666666,7.763333333333333,139.6366666666667,1.0983625,105.4583333333333,13.09166666666667,1.014083333333333,2.27575,0.8688333333333333,0.25,0.1833333333333333,0.0961,0.2706666666666667,0.3261833333333333,1.201833333333333,0.1206416666666667,40.46666666666667,0.7545000000000001,
577,Clafoutis aux cerises et amaretto,Un savoureux clafoutis combinant la douceur des cerises et l'arôme d'amande de l'Amaretto.,6,personnes,2,3,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Cerises, dénoyautées
2 cuillère à soupe Amaretto","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait, l'huile et l'Amaretto.
Incorporez les cerises à la préparation et mélangez délicatement.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler. Ce clafoutis marie parfaitement la douceur des cerises avec la saveur unique de l'Amaretto.",963.7333333333332,229.6316666666667,958.8166666666666,228.6566666666667,78.95031666666667,9.184500000000002,9.3985,50.68383333333333,9.058166666666667,30.18241666666666,1.626666666666667,0.001666666666666667,1.954166666666667,0.3471666666666667,0.1608333333333334,25.21416666666667,17.45833333333333,1.16625,0.9333333333333332,1.066083333333333,1.110666666666667,0.05833333333333334,203.8,0.2040216666666667,94.40783333333333,34.16666666666666,0.09934166666666666,1.36575,21.02166666666666,16.26691666666667,0.1640691666666667,176.1865,186.1265,11.93,140.5725,0.7575625,105.4583333333333,85.09166666666667,0.9724166666666664,2.03575,0.7955,0.25,1.463333333333333,0.06628666666666667,0.25681,0.3017833333333333,1.071833333333333,0.1073083333333333,24.71666666666667,0.7545000000000001,
578,Clafoutis mangue et coco,Un clafoutis exotique mêlant les saveurs de la mangue et de la noix de coco pour un dessert qui transporte sous les tropiques.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait de coco
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Mangue fraîche, coupée en dés
50 gramme Noix de coco râpée","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait de coco et l'huile.
Incorporez les dés de mangue et la noix de coco râpée à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, programmez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler.",906.0,215.6833333333333,901.0,214.6833333333333,72.46815,9.674000000000001,10.04216666666667,50.21083333333333,17.1525,30.57341666666666,1.235,0.001666666666666667,0.4958333333333333,0.0805,0.1633333333333333,28.45,17.69166666666667,3.082916666666667,0.1666666666666667,1.183083333333333,0.0,1.045,202.6333333333333,0.196015,88.01116666666667,24.68333333333333,0.178775,1.82285,19.075,26.11858333333333,0.5203758333333334,191.6565,243.3098333333333,12.31333333333333,137.5341666666667,0.9358624999999999,102.25,290.7416666666667,0.9640833333333331,2.741666666666667,0.9438333333333334,0.25,8.733333333333333,0.0721,0.2489166666666667,0.5901833333333333,1.1235,0.1420583333333333,48.49166666666667,0.7278333333333333,
579,Clafoutis aux prunes et cardamome,Ce clafoutis offre une harmonie parfaite entre la douceur des prunes et les notes épicées de la cardamome.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Prunes, coupées en quartiers
1 cuillère à café Cardamome moulue","Mélangez la farine avec la levure chimique et la cardamome dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez les quartiers de prune à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler.",825.4666666666667,196.8283333333333,820.5500000000001,195.8533333333333,77.74991666666666,9.165833333333333,9.379833333333332,47.94416666666666,9.063166666666666,28.50841666666667,1.073333333333333,0.001666666666666667,1.720833333333333,0.2805,0.1208333333333333,25.67083333333333,17.34166666666667,1.22625,0.0,1.09735,0.0,0.4250333333333333,203.8,0.2014983333333333,94.76783333333333,27.5,0.09254166666666667,1.40535,14.44166666666667,15.95691666666667,0.2617091666666667,176.0998333333333,174.7931666666667,5.3,139.6275,0.7902625,105.4583333333333,67.75833333333334,0.9724166666666664,2.119083333333334,2.662166666666667,0.25,2.586666666666666,0.06976666666666666,0.2615166666666667,0.4031833333333333,1.071833333333333,0.107075,23.8,0.7545000000000001,
580,Clafoutis aux pêches et gingembre,Ce clafoutis allie la douceur des pêches à la vivacité du gingembre.,6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Pêches fraîches, coupées en quartiers
1 cuillère à café Gingembre frais râpé","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre et le gingembre râpé, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez les quartiers de pêche à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler.",821.4566666666666,195.868,816.54,194.893,78.55865,9.2735,9.487499999999999,47.51383333333333,9.057833333333333,27.92508333333333,0.5254666666666666,0.02066666666666666,0.6186999999999999,0.2811666666666667,0.1198333333333333,26.9315,17.34833333333333,1.17525,0.2816666666666667,1.05735,0.0,0.0017,203.8,0.2014016666666667,93.53783333333332,27.557,0.09644166666666666,1.356683333333333,14.475,17.01358333333333,0.1877091666666667,176.6598333333334,194.1265,5.383333333333333,138.9585,0.7741625,105.4583333333333,58.56833333333334,0.9732499999999997,2.434916666666667,1.398166666666667,0.25,2.301666666666667,0.06849333333333334,0.2676166666666667,0.4965166666666667,1.078933333333333,0.1036416666666667,23.87266666666667,0.7545000000000001,
581,Clafoutis aux raisins et armagnac,"Un délicieux clafoutis égayé par la richesse des raisins macérés dans l'Armagnac, parfait pour un dessert traditionnel et savoureux.",6,personnes,3,3,Dessert,Desserts,20,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
100 gramme Raisins secs, préalablement trempés dans l'Armagnac
2 cuillère à soupe Armagnac","Mélangez la farine avec la levure chimique dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Égouttez les raisins et incorporez-les à la préparation avec l'Armagnac.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Laissez refroidir avant de démouler. Ce clafoutis riche et parfumé est un hommage aux saveurs traditionnelles.",1094.916666666667,260.6583333333334,1090.0,259.6833333333333,54.78898333333333,9.409833333333333,9.623833333333334,56.7525,9.094166666666666,36.91841666666667,6.093333333333334,0.001666666666666667,5.820833333333333,0.3138333333333334,0.1441666666666667,25.18083333333333,17.425,1.332916666666667,0.08333333333333333,1.331416666666667,1.6,0.03833333333333334,203.8,0.201015,100.0611666666667,30.83333333333333,0.1426083333333333,1.588683333333333,17.64166666666667,19.02691666666667,0.1897091666666667,183.2398333333333,281.3931666666667,8.596666666666666,139.4008333333333,0.7741625,105.4583333333333,5.258333333333334,1.014083333333333,2.287416666666667,2.628833333333333,0.25,0.1833333333333333,0.0736,0.2539166666666667,0.3511833333333333,1.039166666666667,0.1041416666666667,36.13333333333333,0.7565,
582,Clafoutis aux mûres et lavande,"Ce clafoutis offre une expérience gustative unique, mêlant la douceur des mûres à la délicate fragrance de la lavande.",6,personnes,2,2,Dessert,Desserts,15,35,"150 gramme Sucre
150 gramme Farine
0.5 paquet Levure chimique
50 Millilitre Lait
6 Œufs
1 cuillère à soupe Huile
10 gramme Beurre, pour beurrer la cuve
200 gramme Mûres
1 cuillère à café Lavande séchée","Mélangez la farine avec la levure chimique et la lavande séchée dans un plat.
Dans un saladier, battez les œufs avec le sucre, puis ajoutez progressivement le mélange de farine, le lait et l'huile.
Incorporez les mûres à la préparation.
Versez le tout dans la cuve beurrée.
Fermez le couvercle, sélectionnez le menu four vapeur pression 6, puissance 2, pour 35 min.
Après cuisson, laissez refroidir avant de démouler.",887.3433333333334,211.6073333333333,882.4266666666667,210.6323333333333,77.56265,9.292466666666668,9.506466666666666,46.68608333333333,9.178833333333333,27.2384,1.12,0.01166666666666667,1.150833333333333,0.3471666666666667,0.1608333333333334,25.21416666666667,17.45863333333333,2.37565,0.16666725,1.091433333333333,0.0,0.05166746666666667,203.8,0.2036483333333333,101.7578333333333,34.16666666666666,0.09497499999999999,1.448783333333333,20.975,19.95475,0.5119925,178.0145,188.9065,11.93046666666667,140.292,0.7948291666666667,105.45905,61.825,0.9724169666666665,2.439466666666667,6.678833333333333,0.25,3.638333333333334,0.06623333333333332,0.25925,0.375,1.129033333333333,0.09924166666666667,28.30833333333334,0.7545000000000001,
583,Moelleux au chocolat et à l'orange,Un délicieux moelleux mariant le chocolat intense et la fraîcheur de l'orange.,8,personnes,2,2,Dessert,Desserts,15,35,"200 gramme Chocolat dessert
4 Œufs entiers
200 Millilitre Crème liquide semi-épaisse
150 Millilitre Eau
75 gramme Sucre de canne complet
100 gramme Farine
1 sachet Levure
1 Orange, zeste
1 noisette Beurre, pour chemiser la cuve
Sucre glace, pour la décoration, au goût","Faire fondre le chocolat dans la cuve du Thermochef menu thermodiet à 80 degrés avec les 150 ml d'eau, la crème et le zeste d'orange.
Transférer dans un saladier.
Ajouter les 4 œufs en remuant, puis le sucre et bien mélanger.
Incorporer la farine et le sachet de levure, bien remuer.
Chemiser la cuve du Thermochef avec la noisette de beurre.
Verser la pâte à gâteaux dedans.
Fermer le couvercle, programmer le menu four vapeur puissance 2, pression 7, pour 35 minutes.
Démouler à la fin de la cuisson en retournant le gâteau grâce à la grille, saupoudrer de sucre glace. Bonne dégustation.",714.5,171.69375,712.0,171.19375,53.7285,6.7601375,6.858125,35.504125,19.656625,23.2635,0.5334375,0.02625,0.5834375,0.532875,0.15125,21.81125,8.728125,3.8213125,0.09375,1.1183875,0.0,0.209875,133.9075,0.12495875,70.2216875,26.3,0.046096875,2.02421875,12.33275,45.0215625,0.083290625,137.61375,211.186875,5.4775,49.8475625,0.84835625,136.1875,32.9125,0.6114999999999999,1.0775,1.05,0.1875,9.152125,0.0718375,0.18265625,0.45795,0.6353125000000001,0.071,28.40125,0.4447125,
584,Moelleux au chocolat et noix de coco,"Un délicieux gâteau au chocolat et à la noix de coco, parfait pour un dessert gourmand.",8,personnes,2,2,Dessert,Desserts,15,35,"200 gramme Chocolat dessert
4 Œufs entiers
200 Millilitre Crème liquide semi-épaisse
150 Millilitre Eau
50 gramme Sucre de canne complet
50 gramme Noix de coco râpée
100 gramme Farine
1 sachet Levure
1 noisette Beurre, pour chemiser la cuve
Sucre glace, pour la décoration, au goût","Faire fondre le chocolat dans la cuve du Thermochef menu thermodiet à 80 degrés avec les 150 ml d'eau et la crème.
Transférer dans un saladier.
Ajouter les 4 œufs en remuant, puis le sucre et bien mélanger.
Incorporer la farine, la noix de coco râpée et le sachet de levure, bien remuer.
Chemiser la cuve du Thermochef avec la noisette de beurre.
Verser la pâte à gâteaux dedans.
Fermer le couvercle, programmer le menu four vapeur puissance 2, pression 7, pour 35 minutes.
Démouler à la fin de la cuisson en retournant le gâteau grâce à la grille, saupoudrer de sucre glace. Bonne dégustation.",678.5,163.1625,676.0,162.6625,37.4844375,7.0295125,7.20125,31.49225,23.706625,19.269125,0.133125,0.02625,0.198125,0.495375,0.128125,18.588125,8.6625,4.1900625,0.0,1.126825,0.0,0.013,133.9075,0.12339625,56.4029375,22.55,0.07887812500000001,2.07390625,8.592125,47.2559375,0.249415625,142.7075,210.780625,2.12125,49.2756875,0.878825,136.1875,31.975,0.6114999999999999,1.069375,0.91875,0.1875,0.339625,0.0664,0.18515625,0.4226375,0.6325000000000001,0.07846875,24.545,0.4447125,
585,Moelleux au chocolat et poire,Un délicieux gâteau moelleux combinant la douceur du chocolat et le fruité de la poire.,8,personnes,2,3,Dessert,Desserts,20,35,"200 gramme Chocolat dessert
4 Œufs entiers
200 Millilitre Crème liquide semi-épaisse
150 Millilitre Eau
75 gramme Sucre de canne complet
100 gramme Farine
1 sachet Levure
2 Poires mûres, pelées et coupées en dés
1 noisette Beurre, pour chemiser la cuve
Sucre glace, pour la décoration, au goût","Faire fondre le chocolat dans la cuve du Thermochef menu thermodiet à 80 degrés avec les 150 ml d'eau et la crème.
Transférer dans un saladier.
Ajouter les 4 œufs en remuant, puis le sucre et bien mélanger.
Incorporer la farine et le sachet de levure, bien remuer.
Ajouter délicatement les dés de poire à la pâte.
Chemiser la cuve du Thermochef avec la noisette de beurre.
Verser la pâte à gâteaux dedans.
Fermer le couvercle, programmer le menu four vapeur puissance 2, pression 7, pour 35 minutes.
Démouler à la fin de la cuisson en retournant le gâteau grâce à la grille, saupoudrer de sucre glace. Bonne dégustation.",678.5,163.1625,676.0,162.6625,69.27225,6.7320125,6.83,37.8985,19.600375,25.7385,0.1396875,0.02625,0.2084375,0.495375,0.11375,21.155,8.6625,4.2413125,0.0,1.1183875,0.0,0.013,133.915,0.12533375,61.9716875,22.55,0.061096875,1.99234375,8.957749999999999,44.8340625,0.079540625,135.36375,233.686875,2.1025,50.0350625,0.83898125,136.1875,31.975,0.6114999999999999,1.041875,0.9,0.1875,2.495875,0.1384,0.19203125,0.463575,0.6315625,0.076625,24.295,0.4447125,
